timestamp,day,slot,meter_id,meter_kl15,weighbridge_kl15,days_since_proving
2026-01-01 06:00:00,0,0,LB-03,11.7048,11.728,0
2026-01-01 06:00:00,0,0,LB-03,11.6957,11.6634,0
2026-01-01 06:00:00,0,0,LB-04,11.2441,11.2267,0
2026-01-01 06:00:00,0,0,LB-09,11.166,11.1439,0
2026-01-01 06:00:00,0,0,LB-10,11.7176,11.6691,0
2026-01-01 14:00:00,0,1,LB-02,11.0428,11.0657,0
2026-01-01 14:00:00,0,1,LB-02,11.2962,11.2323,0
2026-01-01 14:00:00,0,1,LB-02,10.9271,10.9633,0
2026-01-01 14:00:00,0,1,LB-03,10.4017,10.4192,0
2026-01-01 14:00:00,0,1,LB-03,11.4738,11.4387,0
2026-01-01 14:00:00,0,1,LB-03,10.5505,10.4985,0
2026-01-01 14:00:00,0,1,LB-04,11.3044,11.3324,0
2026-01-01 14:00:00,0,1,LB-05,11.3903,11.4531,0
2026-01-01 14:00:00,0,1,LB-05,11.7568,11.6815,0
2026-01-01 14:00:00,0,1,LB-06,11.0625,11.0532,0
2026-01-01 14:00:00,0,1,LB-08,10.9893,10.9825,0
2026-01-01 14:00:00,0,1,LB-09,11.1965,11.2222,0
2026-01-01 14:00:00,0,1,LB-10,11.3005,11.3157,0
2026-01-01 22:00:00,0,2,LB-08,10.7342,10.7838,0
2026-01-01 22:00:00,0,2,LB-08,11.134,11.1192,0
2026-01-01 22:00:00,0,2,LB-09,10.8264,10.8089,0
2026-01-02 06:00:00,1,0,LB-03,11.5003,11.5532,1
2026-01-02 06:00:00,1,0,LB-04,11.8321,11.8439,1
2026-01-02 06:00:00,1,0,LB-07,11.1088,11.1601,1
2026-01-02 06:00:00,1,0,LB-07,11.0334,11.0544,1
2026-01-02 06:00:00,1,0,LB-08,10.9228,10.8864,1
2026-01-02 14:00:00,1,1,LB-03,11.2332,11.245,1
2026-01-02 14:00:00,1,1,LB-04,10.8727,10.8714,1
2026-01-02 14:00:00,1,1,LB-05,10.7112,10.7333,1
2026-01-02 14:00:00,1,1,LB-06,10.7147,10.689,1
2026-01-02 14:00:00,1,1,LB-07,11.594,11.5868,1
2026-01-02 14:00:00,1,1,LB-07,10.8883,10.9251,1
2026-01-02 14:00:00,1,1,LB-08,11.9856,11.9978,1
2026-01-02 14:00:00,1,1,LB-08,10.8313,10.8014,1
2026-01-02 14:00:00,1,1,LB-09,10.6895,10.6551,1
2026-01-02 14:00:00,1,1,LB-10,10.9035,10.8894,1
2026-01-02 22:00:00,1,2,LB-01,10.4886,10.4921,1
2026-01-02 22:00:00,1,2,LB-05,10.5812,10.5682,1
2026-01-02 22:00:00,1,2,LB-05,10.92,10.9686,1
2026-01-02 22:00:00,1,2,LB-07,11.9121,11.8768,1
2026-01-02 22:00:00,1,2,LB-09,11.4758,11.4854,1
2026-01-03 06:00:00,2,0,LB-03,11.9735,12.0259,2
2026-01-03 06:00:00,2,0,LB-06,10.6782,10.6741,2
2026-01-03 06:00:00,2,0,LB-10,11.5907,11.6143,2
2026-01-03 14:00:00,2,1,LB-02,11.3344,11.3284,2
2026-01-03 14:00:00,2,1,LB-06,11.4742,11.5118,2
2026-01-03 14:00:00,2,1,LB-07,11.9696,11.898,2
2026-01-03 14:00:00,2,1,LB-08,10.4708,10.4855,2
2026-01-03 14:00:00,2,1,LB-08,10.8857,10.901,2
2026-01-03 14:00:00,2,1,LB-10,11.215,11.2567,2
2026-01-03 22:00:00,2,2,LB-01,11.3698,11.3534,2
2026-01-03 22:00:00,2,2,LB-03,11.8356,11.856,2
2026-01-04 06:00:00,3,0,LB-02,11.2887,11.2951,3
2026-01-04 06:00:00,3,0,LB-03,10.8557,10.9075,3
2026-01-04 06:00:00,3,0,LB-03,12.0035,12.0501,3
2026-01-04 06:00:00,3,0,LB-04,11.1048,11.1003,3
2026-01-04 06:00:00,3,0,LB-05,10.8278,10.8026,3
2026-01-04 06:00:00,3,0,LB-07,11.9726,11.9316,3
2026-01-04 06:00:00,3,0,LB-09,11.607,11.6244,3
2026-01-04 06:00:00,3,0,LB-10,11.0822,11.0771,3
2026-01-04 14:00:00,3,1,LB-01,10.6981,10.7001,3
2026-01-04 14:00:00,3,1,LB-02,11.5083,11.5485,3
2026-01-04 14:00:00,3,1,LB-02,10.8827,10.8383,3
2026-01-04 14:00:00,3,1,LB-04,11.5511,11.5559,3
2026-01-04 14:00:00,3,1,LB-05,11.9187,11.9696,3
2026-01-04 14:00:00,3,1,LB-10,11.3988,11.4099,3
2026-01-04 22:00:00,3,2,LB-01,10.4111,10.4058,3
2026-01-04 22:00:00,3,2,LB-09,10.5189,10.5609,3
2026-01-05 06:00:00,4,0,LB-01,11.4537,11.4661,4
2026-01-05 06:00:00,4,0,LB-01,11.181,11.1402,4
2026-01-05 06:00:00,4,0,LB-04,11.6993,11.693,4
2026-01-05 06:00:00,4,0,LB-06,11.7493,11.7841,4
2026-01-05 06:00:00,4,0,LB-06,10.3813,10.3693,4
2026-01-05 14:00:00,4,1,LB-03,11.1358,11.0974,4
2026-01-05 14:00:00,4,1,LB-04,11.0123,10.9431,4
2026-01-05 14:00:00,4,1,LB-06,11.6094,11.6563,4
2026-01-05 14:00:00,4,1,LB-07,10.3346,10.3237,4
2026-01-05 14:00:00,4,1,LB-08,11.8042,11.7964,4
2026-01-05 14:00:00,4,1,LB-08,11.5262,11.547,4
2026-01-05 14:00:00,4,1,LB-09,10.62,10.5909,4
