timestamp,day,slot,meter_id,totaliser_kl,interval_gross_kl,temp_c,density_15c,vcf,interval_net_kl15,n_trucks
2026-01-01 06:00:00,0,0,LB-01,12.2,12.1997,18.78,831.64,0.996748,12.16,1
2026-01-01 06:00:00,0,0,LB-02,21.697,21.697,19.13,831.43,0.996442,21.6198,2
2026-01-01 06:00:00,0,0,LB-03,46.028,46.028,19.16,831.89,0.996419,45.8631,4
2026-01-01 06:00:00,0,0,LB-04,40.461,40.4614,19.42,831.71,0.996195,40.3074,3
2026-01-01 06:00:00,0,0,LB-05,29.734,29.7343,18.81,832.45,0.996728,29.637,2
2026-01-01 06:00:00,0,0,LB-06,20.083,20.0826,18.85,831.36,0.996684,20.016,2
2026-01-01 06:00:00,0,0,LB-07,11.882,11.8819,19.2,833.21,0.9964,11.8391,1
2026-01-01 06:00:00,0,0,LB-08,28.528,28.5277,18.69,832.41,0.996833,28.4374,2
2026-01-01 06:00:00,0,0,LB-09,25.855,25.8554,19.06,831.14,0.996498,25.7649,2
2026-01-01 06:00:00,0,0,LB-10,18.089,18.0889,19.1,832.54,0.996477,18.0251,2
2026-01-01 14:00:00,0,1,LB-01,35.778,23.5784,26.75,832.27,0.989884,23.3399,2
2026-01-01 14:00:00,0,1,LB-02,75.536,53.8388,26.72,831.69,0.989895,53.2948,4
2026-01-01 14:00:00,0,1,LB-03,128.747,82.7195,26.72,831.58,0.989896,81.8837,7
2026-01-01 14:00:00,0,1,LB-04,69.091,28.6293,26.74,833.13,0.989914,28.3406,2
2026-01-01 14:00:00,0,1,LB-05,50.104,20.3695,27.0,831.58,0.989654,20.1588,2
2026-01-01 14:00:00,0,1,LB-06,45.11,25.0271,27.09,831.99,0.989583,24.7664,2
2026-01-01 14:00:00,0,1,LB-07,22.679,10.7968,26.34,832.39,0.990245,10.6915,1
2026-01-01 14:00:00,0,1,LB-08,63.53,35.0023,26.74,832.37,0.989892,34.6485,3
2026-01-01 14:00:00,0,1,LB-09,53.59,27.7341,26.73,832.18,0.989903,27.4541,2
2026-01-01 14:00:00,0,1,LB-10,51.617,33.5281,26.76,831.85,0.989863,33.1883,3
2026-01-01 22:00:00,0,2,LB-01,41.869,6.0913,22.15,832.17,0.993851,6.0539,1
2026-01-01 22:00:00,0,2,LB-02,105.256,29.7198,22.09,832.34,0.993906,29.5387,2
2026-01-01 22:00:00,0,2,LB-03,142.051,13.3039,21.73,830.86,0.994195,13.2267,1
2026-01-01 22:00:00,0,2,LB-04,77.418,8.3272,22.18,831.83,0.993818,8.2757,1
2026-01-01 22:00:00,0,2,LB-05,66.318,16.2139,21.95,832.09,0.994021,16.117,1
2026-01-01 22:00:00,0,2,LB-06,63.109,17.9995,22.23,831.55,0.993772,17.8874,1
2026-01-01 22:00:00,0,2,LB-07,36.063,13.3848,21.56,832.15,0.994361,13.3093,1
2026-01-01 22:00:00,0,2,LB-08,85.007,21.4774,21.94,832.46,0.994038,21.3493,2
