timestamp,day,slot,segment_id,inlet_kl15,outlet_kl15,inlet_pressure_bar,outlet_pressure_bar,flow_rate_kl_per_h
2026-01-01 06:00:00,0,0,SEG-A,227.4242,227.5159,48.088,47.104,28.429
2026-01-01 06:00:00,0,0,SEG-B,227.5235,227.4218,46.547,45.945,28.429
2026-01-01 06:00:00,0,0,SEG-C,227.2366,227.395,45.098,44.468,28.429
2026-01-01 06:00:00,0,0,SEG-D,227.5284,227.6361,43.833,42.714,28.429
2026-01-01 06:00:00,0,0,SEG-E,227.3489,227.2741,42.391,41.508,28.429
2026-01-01 06:00:00,0,0,SEG-F,227.3209,227.5737,40.739,40.098,28.429
2026-01-01 06:00:00,0,0,SEG-G,227.3175,227.4572,39.626,39.021,28.429
2026-01-01 06:00:00,0,0,SEG-H,227.484,227.4507,38.185,37.319,28.429
2026-01-01 06:00:00,0,0,SEG-I,227.3398,227.3195,36.693,35.867,28.429
2026-01-01 06:00:00,0,0,SEG-J,227.3574,227.463,35.35,34.493,28.429
2026-01-01 06:00:00,0,0,SEG-K,227.1759,227.2516,34.06,33.076,28.429
2026-01-01 06:00:00,0,0,SEG-L,227.5983,227.5757,32.575,31.655,28.429
2026-01-01 06:00:00,0,0,SEG-M,227.4406,227.4888,31.007,30.448,28.429
2026-01-01 06:00:00,0,0,SEG-N,227.5047,227.4333,29.882,28.862,28.429
2026-01-01 06:00:00,0,0,SEG-O,227.2646,227.4123,28.278,27.522,28.429
2026-01-01 06:00:00,0,0,SEG-P,227.3077,227.4053,26.864,26.011,28.429
2026-01-01 06:00:00,0,0,SEG-Q,227.4305,227.4388,25.619,24.581,28.429
2026-01-01 06:00:00,0,0,SEG-R,227.3224,227.4258,24.072,23.242,28.429
2026-01-01 06:00:00,0,0,SEG-S,227.617,227.4007,22.874,21.712,28.429
2026-01-01 06:00:00,0,0,SEG-T,227.4981,227.5341,21.377,20.645,28.429
2026-01-01 14:00:00,0,1,SEG-A,255.8975,255.7311,48.158,47.042,31.9878
2026-01-01 14:00:00,0,1,SEG-B,255.9019,256.0649,46.552,45.921,31.9878
2026-01-01 14:00:00,0,1,SEG-C,256.0128,255.9047,45.147,44.644,31.9878
2026-01-01 14:00:00,0,1,SEG-D,255.8479,256.0037,43.86,42.984,31.9878
2026-01-01 14:00:00,0,1,SEG-E,255.9566,255.8439,42.057,41.425,31.9878
2026-01-01 14:00:00,0,1,SEG-F,255.8298,255.7862,40.94,40.012,31.9878
2026-01-01 14:00:00,0,1,SEG-G,256.0468,255.7006,39.607,38.774,31.9878
2026-01-01 14:00:00,0,1,SEG-H,255.996,255.8286,38.243,37.453,31.9878
2026-01-01 14:00:00,0,1,SEG-I,255.7979,256.1362,36.902,36.024,31.9878
2026-01-01 14:00:00,0,1,SEG-J,255.9622,255.842,35.396,34.503,31.9878
2026-01-01 14:00:00,0,1,SEG-K,255.8024,255.9636,33.952,33.178,31.9878
2026-01-01 14:00:00,0,1,SEG-L,256.0103,255.6622,32.614,31.795,31.9878
2026-01-01 14:00:00,0,1,SEG-M,255.9116,255.8649,31.302,30.359,31.9878
2026-01-01 14:00:00,0,1,SEG-N,255.999,256.0379,29.563,28.927,31.9878
2026-01-01 14:00:00,0,1,SEG-O,255.8563,255.9112,28.539,27.396,31.9878
2026-01-01 14:00:00,0,1,SEG-P,255.8559,255.8332,26.995,26.363,31.9878
2026-01-01 14:00:00,0,1,SEG-Q,255.6138,255.9763,25.628,24.885,31.9878
2026-01-01 14:00:00,0,1,SEG-R,255.9694,255.7859,24.083,23.353,31.9878
2026-01-01 14:00:00,0,1,SEG-S,255.8432,255.744,22.852,22.151,31.9878
